--- Sheet: Summary ---
Section,Sheet Name,Checklist Items
User Management,User Management,12
Event Browsing and Discovery,Event Browsing and Discovery,8
Showtime and Venue Management,Showtime and Venue Management,12
Booking and Group Reservations,Booking and Group Reservations,16
Double-Booking Prevention,Double-Booking Prevention,10
Booking Lifecycle and Session Timeout,Booking Lifecycle Timeout,7
Payment Processing,Payment Processing,12
Ticket Generation and Verification,Ticket Generation Verification,7
Seat Map and Venue Layout,Seat Map and Venue Layout,5
Administrator Dashboard,Administrator Dashboard,12
Database Constraints,Database Constraints,45
Database Views,Database Views,4
Data Dictionary Tables,Data Dictionary Tables,15

--- Sheet: User Management ---
Done,Section,Type,Requirement / Note,Description
,User Management,Requirement,User Registration,"New users can create an account using full name, email, and password."
,User Management,Requirement,User Login,Registered users can log in using email and password.
,User Management,Requirement,Password Security,"Passwords are stored using hashing, not plain text."
,User Management,Requirement,Role-Based Access Control,"The system supports Admin, Staff, and Customer roles."
,User Management,Requirement,Session Management,"The system uses JWT session tokens with configurable expiration, default 7 days."
,User Management,Requirement,Email Uniqueness,Each email address can only be registered once.
,User Management,Requirement,Password Validation,Passwords must be at least 6 characters long.
,User Management,Requirement,User Role Assignment,"One role can be assigned to many users, and each user has exactly one role."
,User Management,Note,Auto-assign Customer Role Note,New registered users are automatically assigned the Customer role.
,User Management,Note,Customer Permissions Note,"Customer can browse events, select seats, make bookings, process payments, view own booking history, and cancel pending bookings."
,User Management,Note,Staff Permissions Note,Staff has all Customer permissions plus event management permissions.
,User Management,Note,Admin Permissions Note,Admin has all Staff permissions plus ability to view all bookings and manage system settings.

--- Sheet: Event Browsing and Discovery ---
Done,Section,Type,Requirement / Note,Description
,Event Browsing and Discovery,Requirement,Event Listing,Users can view all available events with title and category.
,Event Browsing and Discovery,Requirement,Category Filtering,"Users can filter events by category such as Movie, Concert, and Seminar."
,Event Browsing and Discovery,Requirement,Search by Title,Users can search events by entering keywords in the event title.
,Event Browsing and Discovery,Requirement,Event Details,Users can view full event details including description and related showtimes.
,Event Browsing and Discovery,Requirement,Event Creation,"Admin and Staff users can create new events with title, description, and category."
,Event Browsing and Discovery,Requirement,Category Event Assignment,"One category can contain many events, and each event belongs to exactly one category."
,Event Browsing and Discovery,Note,Category Assignment Note,Every event must belong to exactly one category.
,Event Browsing and Discovery,Note,Event Visibility Note,All events are visible to authenticated users.

--- Sheet: Showtime and Venue Management ---
Done,Section,Type,Requirement / Note,Description
,Showtime and Venue Management,Requirement,Showtime Scheduling,Admin or Staff can create showtimes linking an event to a venue with date/time and base price.
,Showtime and Venue Management,Requirement,Venue Listing,Users can view all available venues with name and location.
,Showtime and Venue Management,Requirement,Seat Definition,"Each venue defines seats with row label, seat number, and seat type."
,Showtime and Venue Management,Requirement,Seat Type Pricing,"Seat types such as VIP, Standard, and Sofa Bed apply a price multiplier to the showtime base price."
,Showtime and Venue Management,Requirement,Showtime Listing,Users can view all showtimes for a specific event.
,Showtime and Venue Management,Requirement,Venue Seat Ownership,"One venue can have many seats, and each seat belongs to exactly one venue."
,Showtime and Venue Management,Requirement,Seat Type Assignment,"One seat type can be assigned to many seats, and each seat has exactly one seat type."
,Showtime and Venue Management,Requirement,Event Showtime Scheduling,"One event can have many showtimes, and each showtime links to exactly one event."
,Showtime and Venue Management,Requirement,Venue Showtime Hosting,"One venue can host many showtimes, and each showtime is held at exactly one venue."
,Showtime and Venue Management,Requirement,Seat-Venue Consistency,The booking transaction validates that the selected seat belongs to the same venue as the referenced showtime before inserting a BookingDetail.
,Showtime and Venue Management,Requirement,Seat Type Modifier Validity,Each seat type price modifier must be greater than zero.
,Showtime and Venue Management,Note,Pricing Formula Note,Seat Price = Showtime Base Price x Seat Type Price Modifier.

--- Sheet: Booking and Group Reservations ---
Done,Section,Type,Requirement / Note,Description
,Booking and Group Reservations,Requirement,Create Booking,Users can create a booking containing one or more seats for a specific showtime.
,Booking and Group Reservations,Requirement,Group Bookings,A single booking can include multiple seats.
,Booking and Group Reservations,Requirement,Booking History,Users can view their own booking history ordered by most recent.
,Booking and Group Reservations,Requirement,Booking Details,"Each booking displays event name, showtime, seats, total amount, and status."
,Booking and Group Reservations,Requirement,Cancel Booking,Users can cancel bookings that are in Pending status.
,Booking and Group Reservations,Requirement,User Booking Ownership,"One user can have many bookings, and each booking belongs to exactly one user."
